"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",1993-12-31,28.589708,28.41760338,9000,324.591490454981,9279.97593139271,279.975931392708
"SPY",1994-12-30,28.70331,28.86092478,21000,744.170210497798,21360.1482446836,360.148244683554
"SPY",1995-12-29,39.624615,38.67846136,33000,1090.76980403638,43221.333538567,10221.333538567
"SPY",1996-12-31,48.539139,48.13646762,45000,1365.00389841175,66256.1139605499,21256.1139605499
"SPY",1997-12-31,64.787743,63.15610764,57000,1573.52896320452,101945.390071151,44945.390071151
"SPY",1998-12-31,83.3769,77.94662376,69000,1738.54654305412,144954.621265569,75954.621265569
"SPY",1999-12-31,100.3769,95.4407342200001,81000,1871.5478081619,187860.167185087,106860.167185087
"SPY",2000-12-29,90.598694,93.8385094600001,93000,1994.71764428628,180718.813471094,87718.8134710939
"SPY",2001-12-31,79.945602,78.8894549800002,105000,2140.82225676798,171149.324092315,66149.3240923148
"SPY",2002-12-31,62.689613,64.1270756200002,117000,2314.96998339224,145124.572365476,28124.572365476
"SPY",2003-12-31,80.356552,76.7137268600002,129000,2488.93005897939,200001.837708741,71001.8377087408
"SPY",2004-12-31,88.953049,86.2340823400001,141000,2633.99451255063,234301.842940648,93301.8429406476
"SPY",2005-12-30,93.247948,92.6284139800002,153000,2767.9680152437,258107.337551108,105107.337551108
"SPY",2006-12-29,108.023308,106.26974956,165000,2888.6145609302,312037.700408647,147037.700408647
"SPY",2007-12-31,113.582451,114.57485306,177000,2994.29068791787,340098.875340187,163098.875340187
"SPY",2008-12-31,71.789795,70.3086638200001,189000,3123.29010845897,224220.356611797,35220.3566117973
"SPY",2009-12-31,90.707649,88.8720066800002,201000,3282.98272443686,297791.644641282,96791.6446412824
"SPY",2010-12-31,104.364723,100.63932734,213000,3412.50290123024,356144.920023591,143144.920023591
"SPY",2011-12-30,106.34243,104.51200272,225000,3524.55921326611,374810.191417607,149810.191417607
"SPY",2012-12-31,123.346947,121.7646962,237000,3625.78899166135,447230.002587636,210230.002587636
"SPY",2013-12-31,163.197601,157.50859522,249000,3709.23462134501,605338.191749649,356338.191749649
"SPY",2014-12-31,185.170166,182.65488158,261000,3778.62750057247,699689.081533169,438689.081533169
"SPY",2015-12-31,187.455719,189.3026367,273000,3843.02803470377,720397.583382552,447397.583382552
"SPY",2016-12-30,209.946442,205.2240277,285000,3904.58605871193,819753.950509372,534753.950509372
"SPY",2017-12-29,255.516174,249.3914203,297000,3956.14389268386,1010858.75125205,713858.751252047
"SPY",2018-12-31,243.841644,258.16884122,309000,4001.68024383506,975776.289419062,666776.289419062
"SPY",2019-12-31,319.978424,308.63760748,321000,4043.37729393536,1293793.49415082,972793.494150823
"SPY",2020-04-22,279.100006,281.52836428,325000,4057.36170237747,1132409.67547772,807409.675477721
