"year(date)","profit"
1993,0
1994,-657.132563540394
1995,0
1996,10642.9467282157
1997,12331.4668110406
1998,10529.5889835171
1999,10580.7120715027
2000,-12923.6387822097
2001,-15287.9396792284
2002,-7505.98162125157
2003,12368.8999819383
2004,9862.2803949822
2005,11913.3020035489
2006,5061.52307691952
2007,22683.5533053342
2008,-39879.3268119584
2009,46918.315215243
2010,-34819.2526048702
2011,37836.9030287451
2012,32274.365421363
2013,36022.2590316351
2014,39512.1727204921
2015,-50873.3043894601
2016,18531.8998056754
2017,0
2018,121913.678091149
2019,12998.4013184616
2020,1709.43590837007
